Instruction,Output
Explain what is algorithm lah.,"Algorithm is a set of step by step instructions to solve a problem or complete a task lah. Like recipe for cooking, but for computer. A good algorithm is clear, efficient and always gives correct result lor."
Explain what is empathy in design thinking lah.,"In design thinking, empathy means trying to deeply understand the users, their feelings and their real problems lah. Before designing solution, you must observe, listen and sometimes even walk in their shoes. Like that your solution more relevant lor."
Explain what is prototype testing in design thinking lah.,"Prototype testing is when you let real or representative users try your early version of solution lah. You observe how they use it, what confuse them, and collect feedback. Then you refine the design and repeat. This cycle helps create better product lor."
Explain what is iteration in easy Singlish.,"Iteration means repeating a process with small changes each time to improve the result lah. Instead of expecting first version perfect, you keep testing, getting feedback and adjusting. Slowly the solution become better and better lor."
Explain what is critical thinking lah.,"Critical thinking is carefully analysing information, checking evidence and questioning assumptions before you accept something lah. Instead of just believing rumours or first impression, you evaluate and think deeper. It helps you make better decisions lor."
Explain what is correlation in simple Singlish.,"Correlation means two things seem to change together, like when one increases, the other also increases or decreases lah. But correlation alone cannot prove one causes the other. They may both be affected by something else lor."
Explain what is causation lah.,"Causation means one event actually causes another to happen lah. To show causation, you usually need strong evidence, controlled studies and ruling out other explanations. Just because two things move together does not automatically mean causation lor."
Explain what is sample size in research lah.,"Sample size is the number of people or items you include in your study lah. Bigger sample size usually gives more reliable results, as it better represents the whole population. But it also needs more time and resources lor."
Explain what is bias in research in simple Singlish.,"Bias is when something in the study design or conduct causes results to be unfairly tilted in one direction lah. For example, only choosing certain type of participants. Bias makes conclusions less trustworthy, so researchers try to minimise it lor."
Explain what is placebo effect lah.,"Placebo effect happens when someone feels better after taking a treatment with no active ingredient, just because they believe it will help lah. It shows how powerful our expectations and mind can be in affecting how we feel lor."
Explain what is peer review in science lah.,"Peer review is when other experts check a research paper before it gets published lah. They look at method, data and conclusions to see if got major problems. This process helps maintain quality and trust in scientific work lor."
"Can explain in your own words what photosynthesis is anot, but in Singlish style.","Ok, we simplify this one first hor. Photosynthesis basically is plant ownself cooking food using sunlight, water and carbon dioxide. The leaf like mini solar panel, take in light, mix with water from roots and gas from air, then change everything into sugar for energy. Very power one, if no this process, whole food chain jialat liao."
"I still cannot picture how plant use light to make food leh, can break it down step by step or not.","You imagine like this: first, sunlight kena absorbed by the green pigment in the leaves, we call chlorophyll. Next step, the plant use that light energy to split water and shuffle electrons around, kind of like charging battery. After that, it combine carbon dioxide with those high energy bits to make sugar. Slowly slowly, step by step like that, plant grow fat and strong lor."
"Tell me why plant leaves open and close stomata, got what pattern one.","Stomata like tiny doors on the leaf surface, they very kaypoh but also very important. When got enough water and need to do photosynthesis, the plant open the doors big big to let carbon dioxide come in and oxygen go out. If weather super hot, very dry, or water not enough, it will siam a bit and close the doors to keep water inside. So whole day the plant like bouncer at club, decide who can go in and who cannot go out meh."
"Why some desert plants got very small leaves or like spines, got special reason anot.","Ya, that one not just for style only sia. In very dry place, water super precious, so if leaf too big, a lot of water will escape from stomata. So some plants become clever, shrink the leaf until small small or turn into spine, reduce surface area. Like that they lose less water, plus sometimes spine can scare away animals who want to eat them. Two in one, steady right."
"Last time teacher say roots always grow downwards because of gravity, but how the plant know which way is down ah.","Plant actually got sense one, not anyhow. Inside the root tip, got tiny structures with heavy starch grains. These grains will always settle towards the direction of gravity. The cells detect this and then send chemical signals so the root grows towards that side. So the plant never see also can roughly know where is down, like built-in compass sia."
"Explain in Singlish why heavy and light things fall same speed in vacuum, I still feel a bit weird.","I know, feel very siao right, big rock and small marble fall same speed. But in vacuum, really no air to block them. Gravity pull both with same acceleration. Outside vacuum, we always see feather fall slower because air resistance bully it. Once you remove the air, no more bullying, everyone fall together like equal treatment liao."
"Why when I sit in bus that suddenly brake, my body still fly forward, is what principle ah.","That one classic inertia story lor. Your body initially moving same speed as the bus. When the bus suddenly brake, the bus floor slow down first, but your body still want to chiong forward at the old speed. So you feel like flying forward. Seatbelt and your leg pushing the floor then provide the force to stop you. No force, you confirm become projectile, very dangerous one."
"Can explain global warming in more real life example, not just theory meh.","Ok we think real life a bit. Imagine you wear jacket plus hoodie plus thick blanket in Singapore afternoon sun, confirm heat until peng right. Earth also like that. Greenhouse gases are like layers of blanket trapping heat that suppose to go back to space. Because humans keep burning fuel and cutting forest, we keep adding extra blanket. End up weather more extreme, ice melt, sea level rise, whole system one kind liao."
"How come climate change can cause more extreme weather ah, like sometimes flood, sometimes drought, so confusing sia.","Actually the logic quite consistent one. When the planet overall gets warmer, more water evaporate from oceans and land. So the atmosphere can hold more moisture, like sponge soaking more water. When it finally rain, it can pour until super heavy, cause flood. At the same time, some areas may get long period with no rain, become drought. So weather mood swing more jialat lor."
Explain why we keep saying small island countries very vulnerable to sea level rise hor.,"Because small islands like many coastal cities all built very low near sea level. When water rise even a bit, high tide and storm surge can easily overflow into town. Also, these countries sometimes no extra land to move people inland, not like big countries can shift further. Infrastructure, housing, even freshwater supply can kena. So for them, climate change really not just theory, is survival issue liao."
"Teach me how to explain recycling to younger cousin in Singlish, but still accurate one.","You can tell him like this: when we recycle, we send old paper, cans and some plastics to factory so they can become new products instead of sitting in rubbish mountain. Like you reuse Lego bricks build new thing instead of throwing away. This way, we chop less trees, dig less metal, and burn less fuel. So Earth not so stressed, future still got enough resources, not everything use finish then cry meh."
Why we cannot just rely on recycling and nevermind about reducing or reusing ah.,"If every day you keep buying and throwing but only say “never mind got recycling bin”, still very siong for the system one. Recycling itself also use energy and transport. Some items cannot even be recycled properly. So first thing is reduce what you buy, second is reuse as long as can, and only last step then recycle. If we only depend on one part, sure cannot catch up with the amount of waste lor."
Explain in Singlish why food waste is extra jialat compared to normal plastic waste leh.,"Both also not good lah, but food waste got extra problem. Growing food need land, water, fertiliser, transport and energy. If we buy then throw, all that effort and resource just wasted. When food rots in landfill, it can release methane, one greenhouse gas more power than carbon dioxide. So wasting food is like double or triple waste, really very heart pain one."
Can you describe what is balanced diet using terms that sound more like how we talk at kopitiam.,"Ok imagine your plate lah. If every meal only got white rice and fried chicken, short term shiok, long term your body will complain. Balanced diet means your plate got variety: some carbs for energy, some protein like fish, tofu or meat for building body, and a good portion of fruits and veggies for vitamins and fibre. Plus go easy on super sweet drinks and deep fried stuff. Like that your inside not so chope with grease, more steady for long run."
How to explain to my friend that skipping breakfast just to diet is not smart one.,"You can tell her this kind: “Eh, you skip breakfast, your body think got crisis, then later you hungry until cannot tahan, you end up whack more food at night leh. Also, energy low the whole morning, brain blur blur, mood also cui. Better eat something light but healthy, like oats or egg, then balance your meals through the day. Diet is long game, not one-shot magic meh.”"
"Explain the link between sleep and memory, but make it sound like how we complain during exam period.","You know exam week always pia until 3am then next day say “why my brain like goldfish memory ah”. Actually not surprise lah. When you sleep, your brain got time to整理 and file away the things you studied, like librarian sorting books properly. If you keep cutting sleep, the librarian no time to arrange, everything stack anyhow. So even if you mug very long, your recall also half past six only."
"Why we always say screens before bed not good, got real science behind or just parents nag only meh.","Got science one, not just nag. Phone, tablet, laptop all throw out blue light, which signals to your brain “eh still daytime, don’t sleep yet”. Your body then produce less melatonin, the hormone that helps you feel sleepy. On top of that, the content itself, like game or drama, make your brain very awake. So you lie in bed, scroll scroll, then later complain cannot sleep, actually you ownself sabo ownself sia."
"Explain in Singlish how exercise can help with stress, not just body shape only hor.","When you move your body, your brain release feel-good chemicals like endorphins, kind of like natural happy pill. Also, while you exercise, you focus on the movement and breathing, so your mind get short break from all the kancheong thoughts. After that, you feel lighter, sleep better, and sometimes even problems also easier to think through. So exercise is not just for muscle, also for mental reset, quite song one."
Tell me how to describe time management to someone who always last minute rush then complain no time.,"You can tell them, “Time management basically means you plan your day like you plan outing. You don’t wait until 10:55pm then start on assignment due at 11 one right… or maybe you actually do that hor.” Then explain: you break big task into smaller parts, spread throughout the week, and fix some slots where you serious-work, no scroll TikTok. Like that, instead of panic-chiong, you smooth smooth clear everything, less heart attack sia."
"Explain growth mindset using example of learning difficult math topic, but let the tone be a bit naggy-funny.","Imagine you see new math topic, then first reaction, “AIYAH I confirm cannot one, I math suay since P3 liao”. That is fixed mindset lor. Growth mindset is more like, “Wah this topic look quite scary, but if I practise slowly, ask question, and learn from mistakes, maybe can one.” So when you get question wrong, you don’t say “I stupid”; you say “Ok lah, this step I blur, next round I watch properly.” Little bit cheesy but actually works one."
Can talk about peer pressure in a way that secondary school kids sure understand.,"You tell them peer pressure basically is the “if you don’t join us then you not our friend” kind of vibe. Sometimes it’s harmless, like friends psycho you join CCA together. But sometimes can be jialat, like ask you try smoking, gambling, or skipping class just to “look cool”. So you need to learn say no without acting like you very atas, something like “Eh I pass first lah, I really not comfy, but you all go ahead don’t worry.” Then change topic or walk away if they keep pushing."
"Explain in Singlish what stereotype means, maybe use example but don’t over attack any group.","Stereotype is like shortcut label we put on whole group of people, even though inside got all kinds of individuals. Example, some people think all gamers are lazy and no life. But actually got gamers who also top student and very fit one. So when we use stereotype too much, we anyhow judge people before knowing them. Easier for brain, but very not fair, and can cause misunderstandings until relationships all awkward sia."
How to explain digital footprint to someone who always post everything online then later regret.,"You can tell them, “Anything you whack online is like leaving footprints in wet cement, not beach sand hor.” Even if you delete later, got chance someone screenshot long ago. Old tweets, cringey TikToks, weird comments, all can resurface next time when you apply job or scholarship. So before post, ask yourself, “If future boss see this, I okay anot?” If answer is “alamak better not”, then probably don’t post lah."
"Explain cyberbullying in Singlish but still serious tone, not joking one.","Cyberbullying is when people use phone or internet to attack others, like calling names in group chat, spreading rumours, leaking private photos, or purposely leaving someone out. Just because it happen behind screen doesn’t mean pain is less. Victim can feel very alone, scared to check phone, even lose interest in things they used to enjoy. So if you see this kind of thing, don’t just kaypoh watch, try support the person and report if needed. Silence sometimes also add to the harm lor."
"Why we keep telling people to use strong password and not repeat same one, got so serious meh.","Yes sia, super serious. If you reuse the same simple password everywhere, once one website kena hacked, hackers can try same combo on your email, bank, social media, everything. Strong password is like strong gate with good lock. Use mix of letters, numbers, symbols, and avoid obvious things like your name plus “123”. Then if can, turn on two-factor authentication, so even if password leak, still got one more barrier. Don’t wait until account kena hijack then cry meh."
Explain in Singlish how vaccine help the body remember the germs.,"Vaccine is like giving your immune system a preview trailer of the enemy. The shot contains weakened or small pieces of the germ, not strong enough to cause full-blown sickness, but enough for your body to recognise. Your immune cells see this, practise attacking, and build memory. Next time real germ come, body go “eh I see you before liao” and whack it quickly before you fall very sick. Like training army before war, not wait until enemy at doorstep then start recruiting."
"Some people say vaccine sure dangerous, how to explain risk in more balanced way ah.","You can say, “No medical thing is 100% no risk one, even simple panadol also got info sheet.” Vaccines can have side effects like fever, sore arm, feeling off for one or two days. Serious side effects are very rare, but they still monitor. On the other side, actual diseases like measles or polio can cause long-term disability or even death. So most of the time, the risk of skipping vaccine is much higher than the risk of taking it. Must compare properly, not just hear rumour then takut."
"Explain herd immunity using Singlish example, maybe like shield style.","Imagine whole group of friends standing between you and heavy rain. Those standing in front holding umbrella are the vaccinated people. If enough of them, the rain (the virus) cannot easily reach the person behind who maybe cannot take vaccine due to health issue. But if many people say “aiyah lazy lah, I don’t want umbrella”, then more gaps appear and rain can pass through. Herd immunity means got enough umbrellas until virus cannot spread easily, so everyone safer lor."
Explain what is renewable energy by comparing to daily life situations.,"Think of renewable energy like refillable water bottle and fossil fuel like carton drink. If you keep buying carton drink, every time you throw away packaging and need new one. But with refillable bottle, you just top up again and again. Sunlight, wind and flowing water are like the tap – they keep coming. Coal and oil are like limited stock snacks; once finish, need a long long time to get more. So using more renewables is like switching from one-time use to refill style, less waste, more steady."
"Why using public transport can help climate, but many people still prefer drive own car, can explain the tradeoff anot.","Public transport is like carpool at big scale. One bus or train can carry so many people, so the emissions per person lower. But driving your own car is more shiok, flexible timing, no need to squeeze. So people choose comfort and convenience over environment. If we want more people to switch, we must make public transport clean, reliable, and not super squeezy until everyone tulan. Then those who can, choose to take bus/train more often, reduce overall carbon footprint lor."
"Explain probability to someone who always say “confirm sure win” when buy 4D, but actually dunno maths one.","You can tease them a bit: “Eh you always say confirm sure win, but you got check probability or not?” Probability just means how likely something is. 0 means totally cannot happen, 1 means guaranteed. For 4D, number of possible combinations very big, so chance you hit first prize is actually super small. Saying “sure win” is just talk big, but mathematically is like throwing pebble into ocean and expecting to hit specific fish sia."
Explain what is average using example of test scores in Singlish.,"Say you got three test marks: 60, 80 and 100. To find average, you add them up: 60 + 80 + 100 = 240. Then you divide by how many tests, which is 3. So 240 divided by 3 is 80. That 80 is like overall typical score. Not as high as your best, not as low as your worst, but give one general idea of how you doing. Just don’t let one super high or super low mark fool you lah."
Explain median like I am totally blur but using numbers I recognise.,"Median is the middle number when you arrange everything nicely from smallest to biggest. Example marks: 30, 55, 75, 90, 99. Sorted liao. The middle is the third one, 75, that’s the median. If got even number of data, like 20, 40, 60, 80, then middle two are 40 and 60. You take their average: (40 + 60)/2 = 50. That 50 is the median. It’s good when your data got some crazy extremes that pull average here and there."
Explain correlation and why “correlation not equal causation” using funny everyday example.,"Imagine every time you bring umbrella, it doesn’t rain. Then your friend say, “Wah, every time you bring umbrella, sky scared and no rain one, you got power sia.” Actually what happens is, you bring umbrella because forecast say maybe rain. The “umbrella” and “no rain” are correlated in your life, but umbrella doesn’t cause the sky to change mind. So correlation means two things move together, but causation means one really make the other happen. Very big difference hor."
Explain what is sample size using example of bubble tea survey.,"If you ask three friends whether they like bubble tea, and all three say yes, you cannot quickly say “Wah 100% of Singaporeans love BBT leh.” Your sample size is only 3, super small. If you ask 3,000 people from different schools, age, background, then the answer more stable. So sample size is how many people or items you include in your study, and bigger (properly chosen) sample usually gives more reliable picture."
"Explain bias in research like gossip story, but still accurate.","Imagine you only ask your super sporty classmates whether PE should be 3 hours every day. Of course most of them shout yes lah, they like sports. But you never ask the more bookworm ones who may say no. That’s selection bias: the group you ask already tilted. So your “survey result” not fair, it only shows your clique’s opinion. In research, bias is like this but sneakier, sometimes hiding in question wording or sampling method, so must be very careful."
Explain what is placebo effect using simple medical example with Singlish flavour.,"Doctor gives you two pills: one real medicine, one just sugar tablet. But you don’t know which is which. Some people who take sugar tablet also report feeling better because they believe strongly that “this medicine confirm help me”. That improvement from belief alone is placebo effect. It shows our brain and expectations can influence how we feel, even when actual medicine never enter the picture."
Explain peer review in science like group project marking scenario.,"Peer review is like when you and your classmates submit project, but instead of teacher marking right away, first other groups quietly check your work. They look for mistakes, unclear explanation, and whether your conclusion actually match your data. In science, these “other groups” are experts in the same field. If they think your paper got big issues, they ask for revision or reject. Only when it passes this “kaypoh checking” then can publish, so people trust it more."
"Explain what is blockchain using analogy, not too chim, and sprinkle some Singlish.","Think of blockchain like a long shared notebook that many people can see but nobody can easily erase old pages. Every time got new transaction, they group them into a block and attach it to the back of the notebook, with special math key linking it to previous block. If someone try to change one old entry, all the later keys won’t match, everyone can see something fishy. So instead of trusting one boss to maintain record, a lot of computers share the job and check each other. Harder to cheat, more transparent lor."
Explain cryptocurrency in a way that highlight both shiok and risky parts.,"Cryptocurrency like digital token you can send online without using normal bank. Quite shiok because can move across countries fast, and some people earn big when price go up. But same time, price can drop like rollercoaster, and if you lose your password or wallet key, nobody can help you recover. Got scams also quite common. So it’s like very volatile game; if you play, must only use money you can afford to lose, not whole life savings lah."
Explain machine learning using example of spam email filter in Singlish.,"At first, you show the computer many examples of “spam” and “not spam” emails. Each email has features like certain words, sender address, links etc. The machine learning model slowly pick up pattern, like “eh, messages with these words and this style often spam hor”. After training, when new email come in, it uses what it learned to guess if spam or not. If guess wrongly, you correct it, then over time the model become smarter. It’s like training auntie to recognise all the suspicious flyers at HDB lobby."
Can explain overfitting like how student just memorise past year paper until fail real exam meh.,"Overfitting is when a model so focused on training data that it basically memorises all the answers, including noise. Same like student who only memorise past year answers without understanding concept. During mock test with same questions, they score full marks. But when real exam change numbers or twist question a bit, they suddenly blur because they never truly learn, they just pattern-match. Good model, like good student, should understand underlying rules, not only remember specific examples."
Explain dataset using example of training a model to recognise cats in pictures.,"If you want computer to recognise cats, you need a lot of example pictures. For each picture you label “cat” or “no cat”. All these images and labels together form your dataset. If dataset only got white fluffy cats but real world got black cat, short hair cat, fat cat, then model will get confused. So we try to collect dataset that is big and diverse, so model won’t be so picky and can recognise more types of cats, not just one “standard cat”."
"Explain ethics in AI using facial recognition as case study, but Singlish tone.","Facial recognition tech can be very steady for unlocking phone or finding missing people. But if anyhow use, can become very scary. Imagine cameras track your face everywhere you go, store data forever, and maybe misidentify you because the system trained mainly on other races. Then you kena wrongly flagged. Ethics in AI means we must think carefully: who is using the tech, for what purpose, how long the data kept, got consent or not, got bias or not. Cannot because technology very cool then we just whack and hope for the best."
Explain UX (user experience) using example of super confusing school portal.,"If your school portal every time load super slow, menu hide inside three layers, and error message only say “system error 500” without telling what to do, that is lousy UX. Good UX means when you log in, you straightaway see important stuff like timetable and announcements, buttons clearly labelled, and even if something fail, the site tell you nicely what happened and how to fix. UX is basically how “siong” or “shiok” the user feels when using the system."
Explain prototype using startup building app example.,"When startup design new app, they don’t immediately build full fancy version with all features. They start with prototype: maybe simple clickable screens, or rough version with only core function. They show to users, gather comments like “this button position weird leh” or “this part very laggy”. Then they improve. So prototype is like first pancake, not pretty, but help you test heat and timing before you cook the rest properly."
"Explain what is iteration in design or coding, not just dictionary meaning.","Iteration just means you don’t expect first try to be perfect. You build something, test with people, see what break or confuse them, then adjust. Then test again, adjust again. In coding, you write version 1, run, see bug, fix, refactor. In design, you sketch, prototype, test, tweak. It’s like cooking new recipe – first time maybe too salty, second time adjust seasoning, third time then reach shiok level. That whole “try, tweak, repeat” process is iteration."
Explain big data using example of shopping app tracking behaviour.,"Shopping app track what you click, how long you look at each product, what you add to cart, what you actually buy. Multiply by millions of users, suddenly data pile is enormous. That is big data. With right tools, they can see pattern like “people who buy baby diapers also often buy coffee late at night” and adjust promotion. Handling big data means need special tech and skill, not just normal Excel can settle one."
Explain what is algorithm using example of making Milo.,"Algorithm is just step by step instructions. Making Milo also can be algorithm: 1) Put two spoons of Milo powder in cup. 2) Add hot water until half cup. 3) Stir until dissolve. 4) Add cold water or ice to top up. If you follow properly, you get decent Milo every time. In computer, algorithm is same idea: clear sequence of steps so that for given input, you always reach correct output. If instruction messy, result also anyhow one."
Explain what is carbon footprint using everyday actions examples.,"Every time you on aircon, take Grab, eat beef, or buy new gadgets, somewhere got power station burning fuel or land used for farming and factories. All these release greenhouse gases. If you add up all the emissions linked to your lifestyle for one year, that is roughly your carbon footprint. Nobody can make it zero, but we can reduce by doing things like taking public transport more, eating less meat, and not buying things we don’t need just because got sale."
Explain sustainability using hawker centre tray return and reusable container example.,"Sustainability is about living in a way that can continue long term without exhausting resources or dumping too much rubbish. At hawker, if everybody use disposable container, plastic and styrofoam mountains will grow like crazy. If we bring own container sometimes and return tray after eating, we help reduce waste and also make cleaning more efficient. One person action small only, but if many people practice, system become more sustainable, not everyday struggle."
Explain negotiation using example of siblings fighting over TV time.,"Two siblings want to watch different shows at same time. If both insist “my show more important”, they end up quarrel and maybe parents ban TV altogether. Negotiation is when they sit down and discuss like, “Ok you take Monday, Wednesday, Friday, I take Tuesday, Thursday, Saturday, Sunday we watch together.” Each side give up a bit but also get something. That is simple negotiation – try to reach arrangement both can accept, instead of all-or-nothing shouting match."
Explain opportunity cost using example of how to spend Saturday afternoon.,"You got one free Saturday afternoon. Option A: study for upcoming test. Option B: go movie with friends. If you choose movie, opportunity cost is the extra revision time you gave up. If you choose study, opportunity cost is the fun outing you missed. Opportunity cost always there whenever you choose one thing over another, even if you never think about it. Being aware of it helps you decide what is really more important in that moment."
Explain what is ecosystem service using park and mangrove examples.,"Park gives shade, cool air, place to exercise and relax – all these are ecosystem services. Mangroves protect coast from strong waves, provide home for fish and crabs, and filter water. Nature not just nice to look at; it’s doing many quiet jobs that benefit us for free. If we destroy these ecosystems, we must spend big money to build artificial versions, and sometimes also cannot fully replace their function."
Explain what is mindfulness using example of eating lunch.,"Mindfulness during lunch means you don’t just whack food while scrolling phone and thinking about 10 different worries. Instead, you try to really notice the taste, texture and smell, and how your body feel getting full. You also observe thoughts that pop up, but don’t immediately chase them. Just “oh, this thought come” then let it go. It’s like training your brain to stay in present instead of auto-pilot mode all the time."
Explain journaling using stress from school example.,"When school stress pile up, everything swirl around in your head until very noisy. Journaling is like taking all the swirling thing and pouring onto paper. You write “today I feel super kancheong because of presentation” and maybe list what exactly you scared of. Once it’s outside your head, many people feel more calm and can see, “oh, actually I got some plan to handle this.” It doesn’t magically solve everything, but it gives clarity, which already quite helpful."
Explain what is resilience using example of failing test but bouncing back.,"Resilience is not about never failing; it’s about what you do after you fall. If you fail one test and straight away label yourself “useless”, then hide from subject forever, that is low resilience. If you feel sad for a while (normal), but later go talk to teacher, fix your study method, and slowly improve, that is resilience. Like rubber band – stretched, yes; break, no. Life sure throw curveball, but resilient people can bounce back."
Explain what is confirmation bias using example of believing rumours about a teacher.,"If you hear one rumour that a teacher very fierce and hateful, you may start noticing only moments when they scold class, and ignore times they help students or explain patiently. Each scolding becomes “proof” you were right all along. That is confirmation bias: you pay more attention to info that matches your initial belief, and conveniently skip the rest. The bias makes it very hard to update your view, even when reality more balanced."
Explain what is experiment control group using medicine test example.,"When trying new medicine, scientists often split people into two groups. One group gets the real medicine, the other gets placebo (fake pill). Both groups treated same way except for that one factor. The placebo group is control group. By comparing outcome between groups, researchers can see if improvement really due to medicine or just natural recovery and placebo effect. Without control group, very hard to tell what actually caused what."
Explain what is line graph using temperature over a week example.,"Imagine you record daily temperature for one week. On a line graph, days go along the bottom, temperature values up the side. For each day, you put a point at its temperature, then join the points with lines. When you look, you can see if this week overall hotter, cooler, or got one random super hot day. It shows trend nicely, not just separate numbers."
Explain bar chart using favourite CCA survey example.,"You survey 50 classmates about favourite CCA: sports, music, art, uniform group. Then you draw bar chart: each CCA one bar, height represents how many people like it. Maybe sports bar super tall, others shorter. Straight away you can see which CCA most popular and roughly how they compare, without reading a long table of numbers."
Explain scatter plot using revision hour vs test score example.,"You write for each student how many hours they revise and what score they get, then mark each student as one dot on graph: horizontal axis hours, vertical axis score. If dots roughly slope upwards, means more revision usually gives higher score. If dots like rojak all over the place, maybe something else affecting performance. Scatter plot helps you visually see relationship between two variables."
Explain what is hypothesis using science fair example.,"In science fair, you might think, “Plants watered with music will grow taller than plants without music.” That statement is your hypothesis – an educated guess you can test. You then design experiment to see if results match your guess. If yes, your hypothesis gets support; if not, you adjust your idea. Hypothesis is not wild anyhow statement, but also not confirmed fact yet."
Explain social media echo chamber using Singlish example.,"Echo chamber is like you only follow accounts that think same as you. So your feed keep showing posts that agree with what you already believe. You share, they share, everyone say “ya lor, exactly”. Soon you start to think “everyone in the world also like that what.” But actually outside that little bubble got many other views. Because algorithm want to show you things you like, it accidentally builds this chamber that keeps amplifying same opinion."
Explain what is phishing email using example that looks like bank message.,"You open inbox, see email: “Dear customer, your bank account got problem, please click this link to verify now.” Logo maybe look very legit, but the link actually goes to fake site that quietly steals your username and password. That is phishing – they pretend to be trusted organisation to fish for your sensitive details. Real banks usually won’t ask you to submit password through random link, so must check carefully before clicking anything."
Explain what is encryption in simple Singlish.,"Encryption is like scrambling message into secret code so that only people with the right key can read it. If hacker intercept halfway, they only see nonsense characters. When your WhatsApp say “end-to-end encrypted”, it means messages are locked before leaving your phone and only unlocked at your friend’s phone. In between, even service provider also cannot easily read the actual content."
Explain what is latency using online gaming example.,"Latency is the delay between you pressing a button and the game server reacting. If latency low, your character move almost instantly, gameplay feel smooth. If latency high, you press shoot but bullet come out half second later, very pek chek. People call it “lag”. So even if your graphics very nice, high latency can still ruin the experience."
Explain what is cache using example of loading same website many times.,"Cache is like your browser’s small memory corner. First time you open one website, it downloads images and layout. Next time you visit, instead of re-downloading everything, it reuse files from cache, so page loads faster. If cache too full or outdated, sometimes weird things happen, that’s why tech support always ask you “can clear cache and try again or not”."
Explain what is human capital using example of upgrading skills.,"Human capital is not about people as money, but about the skills, knowledge and health they bring to work. If you upgrade yourself with new tech skill, communication skill, and take care of your health, your human capital increase. For companies and countries, investing in training and education is like investing in human capital so productivity can grow."
Explain what is inflation using example of favourite chicken rice price.,"Last time your favourite chicken rice maybe $2.50. After a few years, same stall, same portion, now $4.50. That general increase in prices over time is inflation. If your salary never increase but prices keep going up, your purchasing power drop – you can buy less with same amount of money. Low, stable inflation is normal, but when too high, everyone feel the pinch."
Explain what is unemployment rate using example of job hunting fresh grads.,"Unemployment rate looks at how many people are actively looking for job but cannot find one, divided by total labour force. So if many fresh grads sending resumes everywhere but no company hiring, the unemployment rate will go up. It doesn’t count people who are not even trying to find work, like full-time students or retirees."
Explain what is empathy in conflict resolution using quarrel example.,"Two friends quarrel because one feel left out. Instead of just defending yourself or saying “you too sensitive lah”, empathy means you try to imagine how the other person feel. Maybe they see you always go out with new clique and never jio them. You listen properly, reflect back their feelings, and then explain your side without attacking. This kind of communication more likely to heal relationship than just saying “aiyah relax lah, you think too much”."
Explain habit loop using late night scrolling example.,"Cue: you lie on bed and feel a bit bored. Routine: you automatically grab phone and start scrolling social media. Reward: you get little hits of entertainment and dopamine, so brain feels “shiok, not so bored liao”. Over time, this becomes habit loop. If you want change, you can keep cue (bedtime) but swap routine, like reading book or doing breathing exercise, and still get reward of relaxing. Slowly your brain rewires to new loop."
Explain what is ecosystem balance using simple predator and prey story.,"If got too many deer and not enough wolves, deer eat plants until bare, then even deer also starve. If got too many wolves and too few deer, wolves go hungry. Balance means predator and prey numbers adjust so that both can survive and plants also not all wiped out. When humans remove predators or hunt too much, the balance break and whole ecosystem can become messy."
Explain what is ozone layer and why last time people panic about ozone hole.,"Ozone layer sits high high in the atmosphere and blocks a lot of the Sun’s UV radiation. Last time when scientists found out CFC chemicals from fridge and spray cans were destroying ozone, they saw thinning area called ozone hole. More hole means more UV reaching Earth, causing skin cancer and cataracts, and harming plants and plankton. That’s why world quickly agreed to phase out those chemicals. It’s one of the success stories where humans actually fix something before it totally collapse."
Explain what is supply chain using simple example of chocolate bar.,"For a chocolate bar to appear in your hand, a lot happen behind. Farmers grow cocoa beans, traders buy and ship them to factories, factories process into chocolate, packaging plants wrap it nicely, then it goes to warehouses, then to supermarkets, then finally you buy. All these steps from raw material to final product is supply chain. If one part jam – like shipping delay – the whole chain impacted and you might see empty shelf or higher price."
Explain what is resilience in cities using flood example.,"City resilience means when big problem like heavy flood happen, the city can tahan the impact and bounce back. That includes good drainage, early warning systems, evacuation plans, and support for people whose homes affected. Instead of one big flood and whole place chaos for weeks, a resilient city may still get hit but can recover faster, reduce loss, and learn from mistake to prepare better next time."
Explain in Singlish what climate change roughly means.,"Climate change just means the long-term weather pattern of Earth is shifting one lor, not just one or two weird hot days. Over many years, we see more heatwaves, heavy rain, strong storms and sea level rising. Main reason is humans keep burning fuel and chopping forest until greenhouse gases sibei high sia."
Can break down for me why greenhouse gases make Earth hotter anot.,"Greenhouse gases like carbon dioxide act like invisible blanket leh. Sunlight come in, warm the surface, but some heat cannot escape back to space because these gases trap it. Normal amount still ok, but now we add so much until blanket become super thick, Earth feel like wearing winter jacket in Singapore noon, confirm hot one."
"Explain in Singlish the difference between weather and climate again, I always mix up.","Weather is the mood for today or this week only, like now raining cats and dogs or super hot until sweat non-stop. Climate is the personality over many years, like this place usually hot and humid, or that place usually cold and dry. One is daily drama, the other is long-running series lor."
How to explain carbon footprint to my friend who always say too cheem meh.,"You can tell him carbon footprint just means how much greenhouse gas your lifestyle roughly produce. Every time you on aircon, take long shower with hot water, or fly overseas, somewhere got power plant burning fuel. If add everything up for one year, that number is your footprint lor, some big big, some smaller, depending how you live."
Explain in Singlish why taking lift for one floor very bo liao from sustainability view.,"If you healthy and still take lift for one floor, the motor need to use electricity just to move you that little bit sia. One person okay, but whole building full of people also like that, energy usage add up. Take stairs can exercise legs, save a bit power, and overall carbon footprint slightly smaller, steady right."
